,median,mean,variance,max,min,year
2535,,,,,,1983
2536,,,,,,1983
2537,,,,,,1983
2538,,,,,,1983
2539,,,,,,1983
2540,,,,,,1983
2541,,,,,,1983
2542,,,,,,1983
2543,,,,,,1983
2544,,,,,,1983
2545,,,,,,1983
2546,,,,,,1983
2547,,,,,,1983
2548,,,,,,1983
2549,,,,,,1983
2550,,,,,,1983
2551,,,,,,1983
2552,,,,,,1983
2553,,,,,,1983
2554,,,,,,1983
2555,,,,,,1983
2556,,,,,,1983
2557,,,,,,1983
2558,,,,,,1983
2559,,,,,,1983
2560,,,,,,1983
2561,,,,,,1983
2562,,,,,,1983
2563,,,,,,1983
2564,,,,,,1983
2565,,,,,,1983
2566,,,,,,1983
2567,,,,,,1983
2568,,,,,,1983
2569,,,,,,1983
2570,,,,,,1983
2571,,,,,,1983
2572,,,,,,1983
2573,,,,,,1983
2574,,,,,,1983
2575,,,,,,1983
2576,,,,,,1983
2577,,,,,,1983
2578,,,,,,1983
2579,,,,,,1983
2580,,,,,,1983
2581,,,,,,1983
2582,,,,,,1983
2583,,,,,,1983
2584,,,,,,1983
2585,,,,,,1983
2586,,,,,,1983
2587,,,,,,1983
2588,,,,,,1983
2589,,,,,,1983
2590,,,,,,1983
2591,,,,,,1983
2592,,,,,,1983
2593,,,,,,1983
2594,,,,,,1983
2595,,,,,,1983
2596,,,,,,1983
2597,,,,,,1983
2598,,,,,,1983
2599,,,,,,1983
2600,,,,,,1983
2601,,,,,,1983
2602,,,,,,1983
2603,,,,,,1983
2604,,,,,,1983
2605,,,,,,1983
2606,,,,,,1983
2607,,,,,,1983
2608,,,,,,1983
2609,,,,,,1983
2610,,,,,,1984
2611,,,,,,1984
2612,,,,,,1984
2613,,,,,,1984
2614,,,,,,1984
2615,,,,,,1984
2616,,,,,,1984
2617,,,,,,1984
2618,,,,,,1984
2619,,,,,,1984
2620,,,,,,1984
2621,,,,,,1984
2622,,,,,,1984
2623,,,,,,1984
2624,,,,,,1984
2625,,,,,,1984
2626,,,,,,1984
2627,,,,,,1984
2628,,,,,,1984
2629,,,,,,1984
2630,,,,,,1984
2631,,,,,,1984
2632,,,,,,1984
2633,,,,,,1984
2634,,,,,,1984
2635,,,,,,1984
2636,,,,,,1984
2637,,,,,,1984
2638,,,,,,1984
2639,,,,,,1984
2640,,,,,,1984
2641,,,,,,1984
2642,,,,,,1984
2643,,,,,,1984
2644,,,,,,1984
2645,,,,,,1984
2646,,,,,,1984
2647,,,,,,1984
2648,,,,,,1984
2649,,,,,,1984
2650,,,,,,1984
2651,,,,,,1984
2652,,,,,,1984
2653,,,,,,1984
2654,,,,,,1984
2655,,,,,,1984
2656,,,,,,1984
2657,,,,,,1984
2658,,,,,,1984
2659,,,,,,1984
2660,,,,,,1984
2661,,,,,,1984
2662,,,,,,1984
2663,,,,,,1984
2664,,,,,,1984
2665,,,,,,1984
2666,,,,,,1984
2667,,,,,,1984
2668,,,,,,1984
2669,,,,,,1984
2670,,,,,,1984
2671,,,,,,1984
2672,,,,,,1984
2673,,,,,,1984
2674,,,,,,1984
2675,,,,,,1984
2676,,,,,,1984
2677,,,,,,1984
2678,,,,,,1984
2679,,,,,,1984
2680,,,,,,1984
2681,,,,,,1984
2682,,,,,,1984
2683,,,,,,1984
2684,,,,,,1984
2685,,,,,,1984
2686,,,,,,1984
2687,,,,,,1984
2688,,,,,,1984
2689,,,,,,1984
2690,,,,,,1984
2691,,,,,,1984
2692,,,,,,1984
2693,,,,,,1984
2694,,,,,,1984
2695,,,,,,1984
2696,,,,,,1984
2697,,,,,,1984
2698,,,,,,1984
2699,,,,,,1984
2700,,,,,,1985
2701,,,,,,1985
2702,,,,,,1985
2703,,,,,,1985
2704,,,,,,1985
2705,,,,,,1985
2706,,,,,,1985
2707,,,,,,1985
2708,,,,,,1985
2709,,,,,,1985
2710,,,,,,1985
2711,,,,,,1985
2712,,,,,,1985
2713,,,,,,1985
2714,,,,,,1985
2715,,,,,,1985
2716,,,,,,1985
2717,,,,,,1985
2718,,,,,,1985
2719,,,,,,1985
2720,,,,,,1985
2721,,,,,,1985
2722,,,,,,1985
2723,,,,,,1985
2724,,,,,,1985
2725,,,,,,1985
2726,,,,,,1985
2727,,,,,,1985
2728,,,,,,1985
2729,,,,,,1985
2730,,,,,,1985
2731,,,,,,1985
2732,,,,,,1985
2733,,,,,,1985
2734,,,,,,1985
2735,,,,,,1985
2736,,,,,,1985
2737,,,,,,1985
2738,,,,,,1985
2739,,,,,,1985
2740,,,,,,1985
2741,,,,,,1985
2742,,,,,,1985
2743,,,,,,1985
2744,,,,,,1985
2745,,,,,,1985
2746,,,,,,1985
2747,,,,,,1985
2748,,,,,,1985
2749,,,,,,1985
2750,,,,,,1985
2751,,,,,,1985
2752,,,,,,1985
2753,,,,,,1985
2754,,,,,,1985
2755,,,,,,1985
2756,,,,,,1985
2757,,,,,,1985
2758,,,,,,1985
2759,,,,,,1985
2760,,,,,,1985
2761,,,,,,1985
2762,,,,,,1985
2763,,,,,,1985
2764,,,,,,1985
2765,,,,,,1985
2766,,,,,,1985
2767,,,,,,1985
2768,,,,,,1985
2769,,,,,,1985
2770,,,,,,1985
2771,,,,,,1985
2772,,,,,,1985
2773,,,,,,1985
2774,,,,,,1985
2775,,,,,,1985
2776,,,,,,1985
2777,,,,,,1985
2778,,,,,,1985
2779,,,,,,1985
2780,,,,,,1985
2781,,,,,,1985
2782,,,,,,1985
2783,,,,,,1985
2784,,,,,,1985
2785,,,,,,1985
2786,,,,,,1985
2787,,,,,,1985
2788,,,,,,1985
2789,,,,,,1985
2790,,,,,,1986
2791,,,,,,1986
2792,,,,,,1986
2793,,,,,,1986
2794,,,,,,1986
2795,,,,,,1986
2796,,,,,,1986
2797,,,,,,1986
2798,,,,,,1986
2799,,,,,,1986
2800,,,,,,1986
2801,,,,,,1986
2802,,,,,,1986
2803,,,,,,1986
2804,,,,,,1986
2805,,,,,,1986
2806,,,,,,1986
2807,,,,,,1986
2808,,,,,,1986
2809,,,,,,1986
2810,,,,,,1986
2811,,,,,,1986
2812,,,,,,1986
2813,,,,,,1986
2814,,,,,,1986
2815,,,,,,1986
2816,,,,,,1986
2817,,,,,,1986
2818,,,,,,1986
2819,,,,,,1986
2820,,,,,,1986
2821,,,,,,1986
2822,,,,,,1986
2823,,,,,,1986
2824,,,,,,1986
2825,,,,,,1986
2826,,,,,,1986
2827,,,,,,1986
2828,,,,,,1986
2829,,,,,,1986
2830,,,,,,1986
2831,,,,,,1986
2832,,,,,,1986
2833,,,,,,1986
2834,,,,,,1986
2835,,,,,,1986
2836,,,,,,1986
2837,,,,,,1986
2838,,,,,,1986
2839,,,,,,1986
2840,,,,,,1986
2841,,,,,,1986
2842,,,,,,1986
2843,,,,,,1986
2844,,,,,,1986
2845,,,,,,1986
2846,,,,,,1986
2847,,,,,,1986
2848,,,,,,1986
2849,,,,,,1986
2850,,,,,,1986
2851,,,,,,1986
2852,,,,,,1986
